SchoolYear;RCDTS;School;Enrollment;FAEnrollment;iepp;eavpp;doepp;ALLCourses;FACourses;ALLTeachers;FATeachers;ALLTeachersCalc;FATeachersCalc
2017;1,001E+13;Seymour High School;231;192;4537;89341;8328;3867;370;21;2;22;3
2017;1,001E+13;Seymour Elementary School;313;300;4537;89341;8328;3349;680;20;2;23;5
2017;1,001E+13;Liberty High School;282;132;5349;91431;8433;4325;283;30;3;31;4
2017;1,001E+13;Liberty Elementary School;285;283;5349;91431;8433;2280;544;23;3;24;4
2017;1,001E+13;Central High School;243;137;4978;92491;8702;3415;270;23;3;26;6
2017;1,001E+13;Central Junior High School;280;170;4978;92491;8702;4200;333;25;4;28;7
2017;1,001E+13;Central Elementary Grade School;202;194;4978;92491;8702;2984;379;11;1;11;1
2017;1,001E+13;Central 3-4 Middle School;135;135;4978;92491;8702;2466;376;10;7;10;7
2017;1,001E+13;Unity High School;231;78;5201;90146;9620;3135;146;20;3;20;3
2017;1,001E+13;Unity Elementary School;194;0;5201;90146;9620;194;0;10;0;10;0
2017;1,001E+13;Unity Middle School;258;0;5201;90146;9620;1532;0;16;0;16;0
2017;1,00117E+13;Quincy Sr High School;2084;446;5936;135503;9767;24263;952;124;8;130;13
2017;1,00117E+13;Quincy Jr High School;1446;694;5936;135503;9767;22959;1662;93;9;101;16
2017;1,00117E+13;Sarah Atwater Denman Elementary S;;;5936;135503;9767;2724;385;;;;
2017;1,00117E+13;Sarah Atwater Denman Elementary School Site 2;384;377;5936;135503;9767;;;21;1;22;2
2017;1,00117E+13;Colonel George Iles Elementary Sc;;;5936;135503;9767;1681;240;;;;
2017;1,00117E+13;Colonel George Iles Elementary School;242;239;5936;135503;9767;;;15;1;15;1
2017;1,00117E+13;Thomas S Baldwin Elementary Schoo;;;5936;135503;9767;2275;325;;;;
2017;1,00117E+13;Thomas S Baldwin Elementary School Site 1;325;325;5936;135503;9767;;;17;2;17;2
2017;1,00117E+13;Sarah Atwater Denman Elementary S;;;5936;135503;9767;1569;281;;;;
2017;1,00117E+13;Sarah Atwater Denman Elementary Site 1;219;212;5936;135503;9767;;;14;5;14;5
2017;1,00117E+13;Thomas S Baldwin Elementary Schoo;;;5936;135503;9767;2576;359;;;;
2017;1,00117E+13;Thomas S Baldwin Elementary School Site 2;369;355;5936;135503;9767;;;19;1;19;1
